epoch,train_loss,val_mae,val_rmse,val_r2,lr,time_s
1,0.3547252299330451,323.31031560897827,457.10501074790955,0.8735030293464661,0.0004998768868112501,86.87890553474426
2,0.24281346964402634,270.74676752090454,396.0765600204468,0.9050256609916687,0.0004995076687428538,86.42932081222534
3,0.21839043131741612,260.1277530193329,389.352947473526,0.9082227349281311,0.0004988927101684685,86.32124876976013
4,0.1980114748174494,252.91404128074646,378.71262431144714,0.9131704568862915,0.0004980326179779623,85.86068916320801
5,0.18187560159293087,216.8067842721939,319.98080015182495,0.9380136728286743,0.0004969282409784869,86.41183614730835
6,0.16819729708108036,208.7075263261795,311.81269884109497,0.9411379098892212,0.0004955806690568079,89.5099675655365
7,0.15627847628701816,193.39708983898163,269.47999000549316,0.9560356140136719,0.0004939912321037176,86.48553824424744
8,0.14865594255490736,201.8081098794937,273.90962839126587,0.9545783996582031,0.0004921614987015935,86.78748512268066
9,0.14204353135282344,167.03222692012787,229.10380363464355,0.9682230353355408,0.0004900932745763975,86.10696411132812
10,0.1367896214615215,173.2822209596634,237.37631738185883,0.9658867716789246,0.00048778860081564096,86.48692917823792
11,0.1325355102614923,163.02227973937988,223.1772094964981,0.9698457717895508,0.0004852497518540794,85.98593091964722
12,0.1283562978332693,161.9895100593567,221.5883880853653,0.9702736139297485,0.00048247923322911887,86.60585498809814
13,0.12480265117883682,161.30873560905457,223.67726266384125,0.9697105288505554,0.0004794797791081534,85.96052145957947
14,0.12125174253312024,156.10715746879578,212.75565028190613,0.9725962281227112,0.00047625434959027205,86.19106841087341
15,0.1180176945198666,146.8445509672165,203.508660197258,0.9749265909194946,0.00047280612778499796,86.65213394165039
16,0.11511315089139071,152.80836820602417,218.30956637859344,0.971146821975708,0.0004691385166709441,87.28090357780457
17,0.11217097071734342,149.6807336807251,204.40451800823212,0.9747053384780884,0.0004652551357374841,86.94838547706604
18,0.10979730430733074,139.05520737171173,189.00489807128906,0.978373110294342,0.00046115981741275293,86.8497109413147
19,0.10764482070099224,139.85173404216766,189.72937762737274,0.978206992149353,0.0004568566032815033,86.1831464767456
20,0.10552700779221275,144.0504789352417,201.8904685974121,0.9753237366676331,0.00045234974009654953,86.12042999267578
21,0.10351050349257208,132.94489681720734,179.63142693042755,0.9804650545120239,0.00044764367558773485,85.76190161705017
22,0.10128432848670266,132.22987949848175,180.9711456298828,0.9801725745201111,0.0004427430540725596,86.91575598716736
23,0.09982246131571856,126.96978449821472,173.99358749389648,0.9816720485687256,0.0004376527118727998,86.84840798377991
24,0.09825926740061153,125.92533230781555,176.2322336435318,0.9811973571777344,0.00043237767254164234,86.4882652759552
25,0.09649823785370046,130.13561069965363,178.27655375003815,0.9807586073875427,0.0004269231419060437,85.71007227897644
26,0.09488358864134008,123.30947071313858,166.83600842952728,0.9831489324569702,0.00042129450292920795,87.07410860061646
27,0.09332983083508231,123.57307225465775,169.11697387695312,0.9826850295066833,0.00041549731039825123,86.00237846374512
