epoch,train_loss,val_mae,val_rmse,val_r2,lr,time_s
1,0.2786648634672165,280.7230055332184,412.2815132141113,0.8970951437950134,0.0004998768868112501,84.17187213897705
2,0.2121485942363739,255.94007968902588,375.83184242248535,0.9144864082336426,0.0004995076687428538,83.27929902076721
3,0.19280159824111245,248.60556423664093,362.32566833496094,0.9205220937728882,0.0004988927101684685,83.20226621627808
4,0.18117610591758382,229.5268028974533,351.54038667678833,0.9251832962036133,0.0004980326179779623,82.42381453514099
5,0.172074531992999,218.55483949184418,303.1516671180725,0.944362461566925,0.0004969282409784869,83.15759325027466
6,0.1632593633109873,205.86936175823212,288.9360189437866,0.949458122253418,0.0004955806690568079,82.81331539154053
7,0.15635200007612055,195.83164155483246,273.48941564559937,0.9547176361083984,0.0004939912321037176,82.12696266174316
8,0.15189038206013766,189.18581306934357,264.14361596107483,0.9577595591545105,0.0004921614987015935,82.42647361755371
9,0.14775510172627188,193.82551312446594,266.7614221572876,0.9569181799888611,0.0004900932745763975,82.4456057548523
10,0.14466055404814807,183.42936038970947,256.92862272262573,0.9600356221199036,0.00048778860081564096,81.90948963165283
11,0.14166626185503872,178.49810421466827,250.24175643920898,0.9620888233184814,0.0004852497518540794,81.85226011276245
12,0.13870450281880117,174.17337000370026,243.70574951171875,0.9640433192253113,0.00048247923322911887,81.59321975708008
13,0.1369477463299578,172.51017689704895,242.8499013185501,0.9642953872680664,0.0004794797791081534,82.29834461212158
14,0.1346937953873114,173.40506613254547,242.71991848945618,0.9643336534500122,0.00047625434959027205,81.73552083969116
15,0.1330999271999706,173.52920770645142,242.5764799118042,0.9643757939338684,0.00047280612778499796,81.65758085250854
16,0.13059887865239925,171.432226896286,243.45165491104126,0.964118242263794,0.0004691385166709441,81.9283938407898
17,0.1288818674325943,172.38369584083557,239.32234942913055,0.9653251767158508,0.0004652551357374841,82.10060358047485
18,0.127824525401809,167.1752631664276,235.27859151363373,0.9664870500564575,0.00046115981741275293,81.3558509349823
19,0.12613408840136095,166.73967242240906,234.87132787704468,0.9666029214859009,0.0004568566032815033,82.05156683921814
20,0.12477114796421744,166.63961112499237,236.26910150051117,0.9662042856216431,0.00045234974009654953,81.29268479347229
21,0.12355701393214139,165.1923805475235,233.9954823255539,0.9668515920639038,0.00044764367558773485,81.70901584625244
22,0.12251756289005279,161.43687069416046,227.386012673378,0.968697726726532,0.0004427430540725596,81.59854888916016
23,0.12133274710286747,161.125048995018,225.65031051635742,0.969173789024353,0.0004376527118727998,81.32018780708313
24,0.12045623559518294,156.7886918783188,222.51927852630615,0.9700233340263367,0.00043237767254164234,81.36205649375916
25,0.11932284701412374,159.51919555664062,226.41222178936005,0.9689652919769287,0.0004269231419060437,81.7874026298523
26,0.11833876352093436,156.34877979755402,220.70743143558502,0.9705095291137695,0.00042129450292920795,82.29138731956482
27,0.11718626110553741,159.70294177532196,224.91666674613953,0.9693739414215088,0.00041549731039825123,81.07917332649231
28,0.11658527192527597,155.91633319854736,220.27459740638733,0.9706250429153442,0.0004095372854422982,81.80135607719421
29,0.11547154499834233,161.28283739089966,228.90587151050568,0.9682778716087341,0.0004034203098864177,81.25020289421082
30,0.11460758514837785,155.24554252624512,218.14283728599548,0.971190869808197,0.00039715242044697217,80.96150517463684
31,0.11361499331214212,151.28354728221893,214.00606632232666,0.9722731709480286,0.0003907398027741067,81.52367734909058
32,0.11279602489796552,151.30849182605743,214.61409330368042,0.9721153974533081,0.0003841887853472597,81.50456523895264
33,0.1122669788533991,156.53619170188904,220.47482430934906,0.9705716371536255,0.00037750583322971774,81.07100749015808
34,0.11143798118179495,156.0993790626526,220.80746293067932,0.9704827666282654,0.00037069754168837804,81.00799775123596
35,0.11062921162518588,149.48147535324097,212.59549260139465,0.9726374745368958,0.000363770629685017,81.28500986099243
36,0.10973383748097854,148.46055209636688,210.2069854736328,0.9732488393783569,0.0003567319332454857,81.59555268287659
37,0.10907237116206776,147.91347086429596,210.3494256734848,0.9732125997543335,0.00034958839871337787,81.1196038722992
38,0.10801418550664728,150.14740824699402,212.22980320453644,0.9727315306663513,0.0003423470758948273,80.44431281089783
39,0.10764635437726974,149.1558700799942,211.52299642562866,0.9729128479957581,0.0003350151111012004,81.65999746322632
40,0.10700155738267031,149.8771458864212,212.9313200712204,0.9725509881973267,0.0003275997400965495,81.69932746887207
41,0.10631673959060149,148.50930869579315,210.73466539382935,0.9731143712997437,0.00032010828095678783,81.06655263900757
42,0.10554079358035869,146.98848128318787,207.96248316764832,0.9738171100616455,0.0003125481268476313,81.11428785324097
43,0.10488487872535532,147.28190004825592,209.00627970695496,0.9735535979270935,0.0003049267387284375,80.91922378540039
44,0.10429532817493785,146.4945375919342,209.61937308311462,0.9733982086181641,0.0002972516379891384,81.31080293655396
45,0.10363642965663564,143.6852514743805,206.0333639383316,0.9743005633354187,0.0002895303990275377,81.03610157966614
46,0.10293659687909212,145.73709666728973,208.54604244232178,0.9736699461936951,0.00028177064177429406,80.75282287597656
47,0.10247661598378961,144.2972868680954,207.27865397930145,0.9739890098571777,0.0002739800241729694,81.05823016166687
48,0.10196437749754299,143.66720616817474,206.03357255458832,0.9743005037307739,0.0002661662346225638,81.01754879951477
49,0.10140523052107205,145.6495225429535,208.0356925725937,0.9737986326217651,0.0002583369843899931,81.57946228981018
